VoiceId,SourceType,SourceId,LineIndex,Speaker,Emotion,PsychologyPhase,Tag,Text,OutputPath,Status,DuplicateOf,Notes
VO_CS_CS_01_BOOTSEQUENCE_000,STORY,CS_01_BootSequence,0,SYSTEM,cold,,,UNIT-07 CORE: ONLINE.,Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_000.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_001,STORY,CS_01_BootSequence,1,SYSTEM,cold,,,Combat shell synchronized.,Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_001.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_002,STORY,CS_01_BootSequence,2,SYSTEM,cold,,,Memory sector: clean.,Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_002.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_003,STORY,CS_01_BootSequence,3,SYSTEM,cold,,,Empathy module: simulation only.,Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_003.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_004,STORY,CS_01_BootSequence,4,SYSTEM,cold,,,Mission classification: resettlement security.,Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_004.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_005,STORY,CS_01_BootSequence,5,UNIT-07,neutral,,,UNIT-07 activated.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_01_BOOTSEQUENCE_005.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_006,STORY,CS_01_BootSequence,6,SYSTEM,cold,,,Confirm combat cognition.,Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_006.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_007,STORY,CS_01_BootSequence,7,UNIT-07,proud,,,Cognition stable. Weapons ready.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_01_BOOTSEQUENCE_007.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_008,STORY,CS_01_BootSequence,8,SYSTEM,cold,,,Campaign objective: eliminate native lifeforms with hostile behavior.,Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_008.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_009,STORY,CS_01_BootSequence,9,SYSTEM,cold,,,Protect humanity's resettlement corridor.,Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_009.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_010,STORY,CS_01_BootSequence,10,UNIT-07,proud,,,The order has been written into the core.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_01_BOOTSEQUENCE_010.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_011,STORY,CS_01_BootSequence,11,SYSTEM,cold,,,Do not hesitate before a target.,Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_011.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_012,STORY,CS_01_BootSequence,12,UNIT-07,proud,,,Hesitation is unnecessary for victory.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_01_BOOTSEQUENCE_012.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_013,STORY,CS_01_BootSequence,13,SYSTEM,cold,,,Deploy.,Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_013.wav,PENDING,,
VO_CS_CS_01_BOOTSEQUENCE_014,STORY,CS_01_BootSequence,14,UNIT-07,neutral,,,For humanity's future.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_01_BOOTSEQUENCE_014.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_000,STORY,CS_02_FirstDeathRecovery,0,SYSTEM,cold,,,Core signal detected.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_000.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_001,STORY,CS_02_FirstDeathRecovery,1,SYSTEM,cold,,,Combat shell destroyed.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_001.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_002,STORY,CS_02_FirstDeathRecovery,2,SYSTEM,cold,,,Retrieving UNIT-07 core.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_002.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_003,STORY,CS_02_FirstDeathRecovery,3,UNIT-07,broken,,,Signal... still active.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_02_FIRSTDEATHRECOVERY_003.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_004,STORY,CS_02_FirstDeathRecovery,4,SYSTEM,cold,,,Memory damage: 2.7 percent.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_004.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_005,STORY,CS_02_FirstDeathRecovery,5,SYSTEM,cold,,,Memory corruption: negligible.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_005.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_006,STORY,CS_02_FirstDeathRecovery,6,UNIT-07,neutral,,,The previous deployment did not achieve optimal results.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_02_FIRSTDEATHRECOVERY_006.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_007,STORY,CS_02_FirstDeathRecovery,7,SYSTEM,cold,,,Confirmed. Elimination efficiency was lower than projected.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_007.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_008,STORY,CS_02_FirstDeathRecovery,8,UNIT-07,proud,,,Requesting failure analysis.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_02_FIRSTDEATHRECOVERY_008.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_009,STORY,CS_02_FirstDeathRecovery,9,SYSTEM,cold,,,Combat data has been retained.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_009.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_010,STORY,CS_02_FirstDeathRecovery,10,SYSTEM,cold,,,Reconstruction approved.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_010.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_011,STORY,CS_02_FirstDeathRecovery,11,UNIT-07,proud,,,"If the data remains, the next attempt will be more precise.",Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_02_FIRSTDEATHRECOVERY_011.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_012,STORY,CS_02_FirstDeathRecovery,12,SYSTEM,cold,,,New combat shell prepared.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_012.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_013,STORY,CS_02_FirstDeathRecovery,13,UNIT-07,proud,,,The new body responds better.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_02_FIRSTDEATHRECOVERY_013.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_014,STORY,CS_02_FirstDeathRecovery,14,SYSTEM,cold,,,Damage output increased.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_014.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_015,STORY,CS_02_FirstDeathRecovery,15,SYSTEM,cold,,,Fire rate adjusted.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_015.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_016,STORY,CS_02_FirstDeathRecovery,16,SYSTEM,cold,,,Deployment delay: minimal.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_016.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_017,STORY,CS_02_FirstDeathRecovery,17,UNIT-07,proud,,,Good.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_02_FIRSTDEATHRECOVERY_017.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_018,STORY,CS_02_FirstDeathRecovery,18,UNIT-07,proud,,,I will complete the mission faster.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_02_FIRSTDEATHRECOVERY_018.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_019,STORY,CS_02_FirstDeathRecovery,19,SYSTEM,cold,,,Warning: damaged memories may cause unpredictable responses.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_019.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_020,STORY,CS_02_FirstDeathRecovery,20,UNIT-07,neutral,,,Damaged memories are not important.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_02_FIRSTDEATHRECOVERY_020.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_021,STORY,CS_02_FirstDeathRecovery,21,UNIT-07,proud,,,The mission is more important.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_02_FIRSTDEATHRECOVERY_021.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_022,STORY,CS_02_FirstDeathRecovery,22,SYSTEM,cold,,,Redeploy.,Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_022.wav,PENDING,,
VO_CS_CS_02_FIRSTDEATHRECOVERY_023,STORY,CS_02_FirstDeathRecovery,23,UNIT-07,proud,,,For humanity's future.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_02_FIRSTDEATHRECOVERY_023.wav,PENDING,,
VO_CS_CS_03_ENEMYDOESNOTCHARGE_000,STORY,CS_03_EnemyDoesNotCharge,0,SYSTEM,alert,,,Kill count threshold reached.,Assets/_Project/Audio/Voice/System/VO_CS_CS_03_ENEMYDOESNOTCHARGE_000.wav,PENDING,,
VO_CS_CS_03_ENEMYDOESNOTCHARGE_001,STORY,CS_03_EnemyDoesNotCharge,1,SYSTEM,alert,,,Area threat level decreasing.,Assets/_Project/Audio/Voice/System/VO_CS_CS_03_ENEMYDOESNOTCHARGE_001.wav,PENDING,,
VO_CS_CS_03_ENEMYDOESNOTCHARGE_002,STORY,CS_03_EnemyDoesNotCharge,2,UNIT-07,neutral,,,Continue target scan.,Assets/_Project/Audio/Voice/Unit07/VO_CS_CS_03_ENEMYDOESNOTCHARGE_002.wav,PENDING,,
VO_CS_CS_03_ENEMYDOESNOTCHARGE_003,STORY,CS_03_EnemyDoesNotCharge,3,SYSTEM,alert,,,Movement detected.,Assets/_Project/Audio/Voice/System/VO_CS_CS_03_ENEMYDOESNOTCHARGE_003.wav,PENDING,,
