AssetPath,FileName,Duration,Channels,Frequency,SourceFileSize,LoadType,CompressionFormat,Quality,PreloadAudioData,LoadInBackground,ForceToMono,Ambisonic,UsageCategory,ReferenceStatus,EstimatedRuntimeMemory,SuggestedSettings,Warnings
"Assets/_Project/Audio/Voice/HumanCommand/VO_CS_CS_05_HUMANCOMMAND_000.wav","VO_CS_CS_05_HUMANCOMMAND_000.wav",2.96,1,24000,284240,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",284160,"CompressedInMemory; Vorbis q0.70; preload off; mono",""
"Assets/_Project/Audio/Voice/HumanCommand/VO_CS_CS_05_HUMANCOMMAND_002.wav","VO_CS_CS_05_HUMANCOMMAND_002.wav",3.36,1,24000,322640,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",322560,"CompressedInMemory; Vorbis q0.70; preload off; mono","Long voice is preloaded"
"Assets/_Project/Audio/Voice/HumanCommand/VO_CS_CS_05_HUMANCOMMAND_005.wav","VO_CS_CS_05_HUMANCOMMAND_005.wav",2.64,1,24000,253520,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",253440,"CompressedInMemory; Vorbis q0.70; preload off; mono",""
"Assets/_Project/Audio/Voice/HumanCommand/VO_CS_CS_05_HUMANCOMMAND_008.wav","VO_CS_CS_05_HUMANCOMMAND_008.wav",1.48,1,24000,142160,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",142080,"CompressedInMemory; Vorbis q0.70; preload off; mono",""
"Assets/_Project/Audio/Voice/HumanCommand/VO_CS_CS_05_HUMANCOMMAND_018.wav","VO_CS_CS_05_HUMANCOMMAND_018.wav",3.64,1,24000,349520,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",349440,"CompressedInMemory; Vorbis q0.70; preload off; mono","Long voice is preloaded"
"Assets/_Project/Audio/Voice/HumanCommand/VO_CS_CS_05_HUMANCOMMAND_021.wav","VO_CS_CS_05_HUMANCOMMAND_021.wav",1.8,1,24000,172880,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",172800,"CompressedInMemory; Vorbis q0.70; preload off; mono",""
"Assets/_Project/Audio/Voice/HumanCommand/VO_CS_CS_05_HUMANCOMMAND_022.wav","VO_CS_CS_05_HUMANCOMMAND_022.wav",2.76,1,24000,265040,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",264960,"CompressedInMemory; Vorbis q0.70; preload off; mono",""
"Assets/_Project/Audio/Voice/HumanCommand/VO_CS_CS_05_HUMANCOMMAND_027.wav","VO_CS_CS_05_HUMANCOMMAND_027.wav",1.52,1,24000,146000,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",145920,"CompressedInMemory; Vorbis q0.70; preload off; mono",""
"Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_000.wav","VO_CS_CS_01_BOOTSEQUENCE_000.wav",3.08,1,24000,295760,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",295680,"CompressedInMemory; Vorbis q0.70; preload off; mono","Long voice is preloaded"
"Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_001.wav","VO_CS_CS_01_BOOTSEQUENCE_001.wav",2.2,1,24000,211280,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",211200,"CompressedInMemory; Vorbis q0.70; preload off; mono",""
"Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_002.wav","VO_CS_CS_01_BOOTSEQUENCE_002.wav",2.48,1,24000,238160,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",238080,"CompressedInMemory; Vorbis q0.70; preload off; mono",""
"Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_003.wav","VO_CS_CS_01_BOOTSEQUENCE_003.wav",3.28,1,24000,314960,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",314880,"CompressedInMemory; Vorbis q0.70; preload off; mono","Long voice is preloaded"
"Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_004.wav","VO_CS_CS_01_BOOTSEQUENCE_004.wav",3.32,1,24000,318800,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",318720,"CompressedInMemory; Vorbis q0.70; preload off; mono","Long voice is preloaded"
"Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_006.wav","VO_CS_CS_01_BOOTSEQUENCE_006.wav",2.36,1,24000,226640,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",226560,"CompressedInMemory; Vorbis q0.70; preload off; mono",""
"Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_008.wav","VO_CS_CS_01_BOOTSEQUENCE_008.wav",4.8,1,24000,460880,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",460800,"CompressedInMemory; Vorbis q0.70; preload off; mono","Long voice is preloaded"
"Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_009.wav","VO_CS_CS_01_BOOTSEQUENCE_009.wav",3.04,1,24000,291920,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",291840,"CompressedInMemory; Vorbis q0.70; preload off; mono","Long voice is preloaded"
"Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_011.wav","VO_CS_CS_01_BOOTSEQUENCE_011.wav",3.4,1,24000,326480,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",326400,"CompressedInMemory; Vorbis q0.70; preload off; mono","Long voice is preloaded"
"Assets/_Project/Audio/Voice/System/VO_CS_CS_01_BOOTSEQUENCE_013.wav","VO_CS_CS_01_BOOTSEQUENCE_013.wav",1.04,1,24000,99920,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",99840,"CompressedInMemory; Vorbis q0.70; preload off; mono",""
"Assets/_Project/Audio/Voice/System/VO_CS_CS_02_FIRSTDEATHRECOVERY_000.wav","VO_CS_CS_02_FIRSTDEATHRECOVERY_000.wav",2.08,1,24000,199760,"DecompressOnLoad","PCM",1.00,True,True,True,False,"Voice/Dialogue","BuildScene",199680,"CompressedInMemory; Vorbis q0.70; preload off; mono",""
