AssetPath,Dimensions,TextureType,SpriteMode,SourceFileSize,EstimatedRuntimeMemory,HasAlpha,ReadWriteEnabled,MipMaps,FilterMode,WrapMode,PixelsPerUnit,MaxSize,DefaultCompression,AndroidOverride,AndroidFormat,CompressionQuality,CrunchCompression,SpriteAtlas,SuggestedAction,Warnings
"Assets/_Project/Art/Gate/all_13_gates_base_sheet_128x192.png","1664x192","Sprite","Multiple",408343,1277952,True,False,False,"Point","Clamp",100,2048,"Uncompressed",False,"AutomaticCompressed",50,False,"","Mipmaps off; Read/Write off; Clamp; preserve Point/Bilinear by visual class; Android ETC2 override","Large texture is uncompressed; Android override disabled"
"Assets/_Project/Art/Gate/gate_13_portal_base/all_13_gates_portal_base_grid_4x4_192x160.png","768x640","Sprite","Multiple",335260,1966080,True,False,False,"Bilinear","Clamp",100,2048,"Compressed",False,"AutomaticCompressed",50,False,"","Mipmaps off; Read/Write off; Clamp; preserve Point/Bilinear by visual class; Android ETC2 override","Potential pixel sprite is not Point filtered; Android override disabled; Max Size greatly exceeds source dimensions"
"Assets/_Project/Art/Gate/gate_13_portal_base/all_13_gates_portal_base_sheet_192x160.png","2496x160","Sprite","Multiple",333076,1597440,True,False,False,"Point","Clamp",100,4096,"Uncompressed",False,"AutomaticCompressed",50,False,"","Mipmaps off; Read/Write off; Clamp; preserve Point/Bilinear by visual class; Android ETC2 override","Large texture has no Android override; Large texture is uncompressed; Android override disabled"
"Assets/_Project/Art/Gate/gate_13_portal_base/major_01_projectile_portal_base.png","599x665","Sprite","Multiple",310224,1593340,True,False,False,"Bilinear","Clamp",100,2048,"Compressed",False,"AutomaticCompressed",50,False,"","Mipmaps off; Read/Write off; Clamp; preserve Point/Bilinear by visual class; Android ETC2 override","Potential pixel sprite is not Point filtered; Android override disabled; Max Size greatly exceeds source dimensions"
"Assets/_Project/Art/Gate/gate_13_portal_base/major_01_projectile_portal_base_192x160.png","192x160","Sprite","Multiple",25424,122880,True,False,False,"Bilinear","Clamp",100,2048,"Compressed",False,"AutomaticCompressed",50,False,"","Mipmaps off; Read/Write off; Clamp; preserve Point/Bilinear by visual class; Android ETC2 override","Potential pixel sprite is not Point filtered; Android override disabled; Max Size greatly exceeds source dimensions"
"Assets/_Project/Art/Gate/gate_13_portal_base/major_02_recruit_portal_base.png","599x665","Sprite","Multiple",311962,1593340,True,False,False,"Bilinear","Clamp",100,2048,"Compressed",False,"AutomaticCompressed",50,False,"","Mipmaps off; Read/Write off; Clamp; preserve Point/Bilinear by visual class; Android ETC2 override","Potential pixel sprite is not Point filtered; Android override disabled; Max Size greatly exceeds source dimensions"
"Assets/_Project/Art/Gate/gate_13_portal_base/major_02_recruit_portal_base_192x160.png","192x160","Sprite","Multiple",25550,122880,True,False,False,"Bilinear","Clamp",100,2048,"Compressed",False,"AutomaticCompressed",50,False,"","Mipmaps off; Read/Write off; Clamp; preserve Point/Bilinear by visual class; Android ETC2 override","Potential pixel sprite is not Point filtered; Android override disabled; Max Size greatly exceeds source dimensions"
"Assets/_Project/Art/Gate/gate_13_portal_base/major_03_overclock_portal_base.png","597x665","Sprite","Multiple",324001,1588020,True,False,False,"Bilinear","Clamp",100,2048,"Compressed",False,"AutomaticCompressed",50,False,"","Mipmaps off; Read/Write off; Clamp; preserve Point/Bilinear by visual class; Android ETC2 override","Potential pixel sprite is not Point filtered; Android override disabled; Max Size greatly exceeds source dimensions"
"Assets/_Project/Art/Gate/gate_13_portal_base/major_03_overclock_portal_base_192x160.png","192x160","Sprite","Multiple",27012,122880,True,False,False,"Bilinear","Clamp",100,2048,"Compressed",False,"AutomaticCompressed",50,False,"","Mipmaps off; Read/Write off; Clamp; preserve Point/Bilinear by visual class; Android ETC2 override","Potential pixel sprite is not Point filtered; Android override disabled; Max Size greatly exceeds source dimensions"
"Assets/_Project/Art/Gate/gate_13_portal_base/major_portal_base_sheet_192x160.png","576x160","Sprite","Multiple",77049,368640,True,False,False,"Bilinear","Clamp",100,2048,"Compressed",False,"AutomaticCompressed",50,False,"","Mipmaps off; Read/Write off; Clamp; preserve Point/Bilinear by visual class; Android ETC2 override","Potential pixel sprite is not Point filtered; Android override disabled; Max Size greatly exceeds source dimensions"
