AssetPath,FileName,Duration,Channels,Frequency,SourceFileSize,LoadType,CompressionFormat,Quality,PreloadAudioData,LoadInBackground,ForceToMono,Ambisonic,UsageCategory,ReferenceStatus,EstimatedRuntimeMemory,SuggestedSettings,Warnings
"Assets/Easy Cutscene/Assets/Audio/SFX/chatsound.mp3","chatsound.mp3",0.193,1,37453,6144,"DecompressOnLoad","ADPCM",1.00,True,False,True,False,"GameplayFrequentSfx","PrefabOnly",28928,"DecompressOnLoad; ADPCM; q=1.00; preload=True; background=False; mono=True; sampleRate=Optimize",""
"Assets/Sound/Combat/bullet_hit_enemy_01.ogg","bullet_hit_enemy_01.ogg",0.219,1,38320,16126,"DecompressOnLoad","ADPCM",1.00,True,False,True,False,"GameplayFrequentSfx","AudioCatalog",33536,"DecompressOnLoad; ADPCM; q=1.00; preload=True; background=False; mono=True; sampleRate=Optimize",""
"Assets/Sound/Combat/bullet_hit_enemy_02.ogg","bullet_hit_enemy_02.ogg",0.204,1,38320,16320,"DecompressOnLoad","ADPCM",1.00,True,False,True,False,"GameplayFrequentSfx","AudioCatalog",31232,"DecompressOnLoad; ADPCM; q=1.00; preload=True; background=False; mono=True; sampleRate=Optimize",""
"Assets/Sound/Combat/bullet_hit_enemy_03.ogg","bullet_hit_enemy_03.ogg",0.224,1,38320,16179,"DecompressOnLoad","ADPCM",1.00,True,False,True,False,"GameplayFrequentSfx","AudioCatalog",34304,"DecompressOnLoad; ADPCM; q=1.00; preload=True; background=False; mono=True; sampleRate=Optimize",""
"Assets/Sound/Combat/chomboom_explosion.ogg","chomboom_explosion.ogg",0.777,1,44100,28274,"CompressedInMemory","Vorbis",0.75,True,False,True,False,"GameplayOneShot","AudioCatalog",28274,"CompressedInMemory; Vorbis; q=0.75; preload=True; background=False; mono=True; sampleRate=Optimize",""
"Assets/Sound/Combat/core_shutdown.ogg","core_shutdown.ogg",0.744,1,44100,27440,"DecompressOnLoad","ADPCM",1.00,True,False,True,False,"GameplayFrequentSfx","AudioCatalog",131328,"DecompressOnLoad; ADPCM; q=1.00; preload=True; background=False; mono=True; sampleRate=Optimize",""
"Assets/Sound/Combat/dialogue_type_system.ogg","dialogue_type_system.ogg",0.532,1,44100,19616,"CompressedInMemory","Vorbis",0.70,False,True,True,False,"VoiceDialogue","AudioCatalog",19616,"CompressedInMemory; Vorbis; q=0.70; preload=False; background=True; mono=True; sampleRate=Optimize",""
"Assets/Sound/Combat/dialogue_type_unit07.ogg","dialogue_type_unit07.ogg",0.533,1,44100,20530,"CompressedInMemory","Vorbis",0.70,False,True,True,False,"VoiceDialogue","AudioCatalog",20530,"CompressedInMemory; Vorbis; q=0.70; preload=False; background=True; mono=True; sampleRate=Optimize",""
"Assets/Sound/Combat/final_choice_confirm.ogg","final_choice_confirm.ogg",0.345,1,44100,8973,"DecompressOnLoad","ADPCM",1.00,True,False,True,False,"GameplayFrequentSfx","AudioCatalog",60928,"DecompressOnLoad; ADPCM; q=1.00; preload=True; background=False; mono=True; sampleRate=Optimize",""
"Assets/Sound/Combat/gate_freeze_activate.wav","gate_freeze_activate.wav",2.125,1,48000,613544,"CompressedInMemory","Vorbis",0.75,True,False,True,False,"GameplayFrequentSfx","AudioCatalog",613544,"CompressedInMemory; Vorbis; q=0.75; preload=True; background=False; mono=True; sampleRate=Optimize","High sample rate for non-music"
"Assets/Sound/Combat/player_shot_01.ogg","player_shot_01.ogg",0.691,1,44100,39750,"DecompressOnLoad","ADPCM",1.00,True,False,True,False,"GameplayFrequentSfx","AudioCatalog",121856,"DecompressOnLoad; ADPCM; q=1.00; preload=True; background=False; mono=True; sampleRate=Optimize","Duplicate source content"
"Assets/Sound/Combat/player_shot_02.ogg","player_shot_02.ogg",0.498,1,44100,30025,"DecompressOnLoad","ADPCM",1.00,True,False,True,False,"GameplayFrequentSfx","AudioCatalog",87808,"DecompressOnLoad; ADPCM; q=1.00; preload=True; background=False; mono=True; sampleRate=Optimize",""
