elapsed_sec,total_pss_kb,total_rss_kb,battery_temp_c,battery_level,thermal_status
5,372049,474604,31.0,100,3
10.5,401872,505340,31.1,100,3
15.9,413243,516716,31.1,100,3
21.3,420863,524344,31.1,100,3
26.7,428031,531516,31.2,100,3
32.1,432971,536456,31.4,100,3
37.5,433348,536884,31.4,100,3
42.9,437156,540696,31.5,100,3
48.3,446770,550368,31.6,100,3
53.7,448902,552504,31.6,100,3
59.1,449806,553412,31.8,100,3
64.5,451374,554976,31.9,100,3
69.9,453062,555200,32.0,100,3
75.3,453482,555620,32.0,100,3
80.7,453850,555992,32.1,100,3
86.1,454570,556728,32.2,100,3
91.5,454858,557016,32.2,100,3
96.9,455227,557384,32.3,100,3
102.3,455510,557672,32.3,100,3
107.7,455690,557852,32.4,100,3
113.1,455882,558044,32.4,100,3
118.5,455990,558152,32.5,100,3
123.9,456110,558276,32.6,100,3
129.3,456385,558560,32.6,100,3
134.7,456558,558728,32.7,100,3
140.1,456850,559020,32.7,100,3
145.5,457166,559336,32.9,100,3
150.9,457662,559832,33.0,100,3
156.3,457978,560148,33.0,100,3
161.7,458290,560460,33.0,100,3
167.1,458514,560688,33.1,100,3
172.5,458770,560944,33.1,100,3
177.9,459098,561272,33.1,100,3
183.3,459294,561468,33.2,100,3
188.7,459530,561708,33.3,100,3
194.1,459834,562036,33.4,100,3
199.5,459847,562048,33.4,100,3
204.9,459886,562088,33.5,100,3
210.3,459895,562096,33.5,100,3
215.7,459994,562196,33.6,100,3
221.1,460030,562232,33.6,100,3
226.5,460230,562432,33.6,100,3
231.9,460274,562476,33.7,100,3
237.3,460366,562568,33.7,100,3
242.7,460410,562632,33.7,100,3
248.1,460433,562656,33.9,100,3
253.5,460477,562700,34.1,100,3
258.9,460477,562700,34.1,100,3
264.3,460487,562712,34.1,100,3
269.7,460485,562708,34.1,100,3
275.1,460549,562772,34.1,100,3
280.5,460601,562824,34.1,100,3
285.9,460602,562824,34.3,100,3
291.3,460594,562816,34.3,100,3
296.7,460657,562880,34.2,100,3
302.1,460681,562904,34.4,100,3
307.5,460764,562996,34.4,100,3
312.9,460487,563008,34.5,100,3
318.3,460541,563072,34.5,100,3
323.7,460573,563104,34.5,100,3
329.1,460585,563116,34.7,100,3
334.5,460595,563132,34.6,100,3
339.9,460677,563208,34.7,100,3
345.3,460677,563208,34.7,100,3
350.7,460677,563208,34.8,100,3
356.1,460685,563216,34.8,100,3
361.5,460681,563212,34.9,100,3
366.9,460829,563360,34.9,100,3
372.3,460829,563360,34.9,100,3
377.7,460845,563376,34.9,100,3
383.1,460885,563416,35.0,100,3
388.5,460909,563440,35.0,100,3
393.9,461049,563580,35.1,100,3
399.3,461125,563656,35.2,100,3
404.7,461129,563660,35.1,100,3
410.1,461121,563652,35.2,100,3
415.5,461153,563684,35.3,100,3
420.9,461226,563808,35.3,100,3
426.3,461246,563828,35.4,100,3
431.7,461242,563824,35.4,100,3
437.1,461242,563824,35.4,100,3
442.5,461242,563824,35.4,100,3
447.9,461286,563884,35.6,100,3
453.3,461290,563888,35.6,100,3
458.7,461318,563916,35.7,100,3
464,461354,563952,35.7,100,3
469.4,461362,563960,35.7,100,3
474.8,461386,563984,35.8,100,3
480.2,461394,563992,35.8,100,3
485.5,461394,563992,35.9,100,3
490.9,461394,563992,35.8,100,3
496.3,461394,563992,35.9,100,3
501.7,461394,563992,35.9,100,3
507.1,461390,563988,36.0,100,3
512.5,461394,563992,36.0,100,3
517.9,461370,563968,36.0,100,3
523.3,461358,563956,36.1,100,3
528.7,461366,563964,36.2,100,3
534,461382,563964,36.1,100,3
539.4,461318,563900,36.2,100,3
544.8,461312,563900,36.2,100,3
550.2,461354,563936,36.2,100,3
555.5,461368,563960,36.3,100,3
560.9,461368,563960,36.4,100,3
566.3,461368,563960,36.3,100,3
571.7,461368,563960,36.4,100,3
577.1,461376,563968,36.4,100,3
582.4,461360,563952,36.5,100,3
587.8,461364,563956,36.4,100,3
593.2,461360,563952,36.5,100,3
598.6,461256,563848,36.4,100,3
604,461264,563856,36.6,100,3
609.3,495927,601208,36.6,100,3
614.8,495625,600908,36.5,100,3
620.3,495807,601088,36.5,100,3
625.8,495807,601088,36.5,100,3
631.2,495815,601096,36.4,100,3
636.7,495807,601088,36.4,100,3
642.2,495807,601088,36.4,100,3
647.7,495807,601088,36.2,100,3
653.2,495807,601088,36.1,100,3
658.7,495807,601088,36.1,100,3
664.1,495807,601088,36.0,100,3
669.6,495807,601088,36.0,100,3
675.1,495807,601088,36.0,100,3
680.6,495807,601088,35.9,100,3
686,495807,601088,35.9,100,3
691.5,495807,601088,35.7,100,3
697,495807,601088,35.7,100,3
702.5,495791,601072,35.6,100,3
708,495731,601012,35.6,100,3
713.4,495731,601012,35.6,100,3
719,495731,601012,35.4,100,3
724.5,495731,601012,35.4,100,3
729.9,495731,601012,35.4,100,3
735.4,495731,601012,35.3,100,3
740.9,495731,601012,35.3,100,3
746.3,495731,601012,35.3,100,3
751.8,495733,601012,35.3,100,3
757.3,495695,600964,35.1,100,3
762.8,495691,600960,35.1,100,3
768.2,495902,600960,35.1,100,3
773.7,495902,600960,35.1,100,3
779.2,472152,577218,35.0,100,3
784.9,503369,609050,35.2,100,3
