elapsed_sec,total_pss_kb,total_rss_kb,battery_temp_c,battery_level,thermal_status,foreground_window
5,391541,495748,32.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
11.6,405349,510192,32.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
17.2,416468,521316,32.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
22.6,423736,528588,32.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
28.1,431040,535896,32.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
33.5,434620,539480,32.8,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
39,434927,539832,32.8,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
44.5,443452,548364,32.9,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
50,448696,553660,33.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
55.5,449165,554292,33.1,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
60.9,450616,555824,33.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
67.4,451864,557072,33.1,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
72.8,451964,557180,33.2,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
78.3,452587,557808,33.3,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
83.8,452999,558220,33.4,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
89.3,453179,558404,33.5,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
94.8,453371,558596,33.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
100.3,453496,558724,33.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
105.7,454076,559308,33.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
111.2,454520,559752,33.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
116.7,454624,559856,33.7,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
122.2,454800,560032,34.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
128.6,454572,559804,33.9,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
134.1,454948,560184,34.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
139.6,455140,560376,34.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
145,455580,560820,34.0,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
150.5,456044,561284,34.1,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
156,456504,561744,34.2,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
161.4,456892,562136,34.2,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
166.9,457468,562712,34.2,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
172.4,457688,562960,34.5,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
177.8,458136,563416,34.4,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
183.3,458198,563480,34.5,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
189.8,458276,563556,34.5,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
195.2,458472,563768,34.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
200.8,458544,563840,34.6,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
206.2,458564,563860,34.8,100,3,mCurrentFocus=Window{5fabccc u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
