elapsed_sec,total_pss_kb,total_rss_kb,battery_temp_c,battery_level,thermal_status
5.1,396777,493584,32.7,100,3
11.9,415030,512452,32.9,100,3
19.2,425818,523248,33.0,100,3
24.9,442850,540284,33.1,100,3
31.2,456662,554104,33.1,100,3
38.9,456871,554316,33.2,100,3
44.7,458789,556268,33.3,100,3
50.3,459357,556840,33.4,100,3
58.9,459910,557448,33.5,100,3
66.6,460450,557992,33.6,100,3
75.5,460894,558440,33.7,100,3
81.7,458860,558808,33.7,100,3
87.3,460017,559148,33.7,100,3
94.6,460417,559528,33.9,100,3
105.2,462264,559884,34.1,100,3
113.6,462551,560172,34.1,100,3
119.7,462839,560464,34.2,100,3
126.1,463220,560844,34.2,100,3
133.5,463747,561372,34.4,100,3
139.6,464195,561820,34.4,100,3
145.5,465781,563984,34.4,100,3
