phase,start_seconds,gate_id,label,magnitude,duration_seconds,secondary_magnitude,secondary_duration_seconds,drawback_magnitude,drawback_duration_seconds
early,0,stable_damage,DAMAGE +10%,1.1,0,0,0,0,0
early,0,stable_fire_rate,FIRE RATE +0.2,0.2,0,0,0,0,0
early,0,stable_vitality,MAX HP +8%,1.08,0,0,0,0,0
early,0,utility_repair,REPAIR 20%,0.2,0,0,0,0,0
early,0,utility_barrier,BARRIER 1 HIT,1,15,0,0,0,0
early,0,utility_freeze,FREEZE 20S,0.75,20,0,0,0,0
early,0,risky_glass_cannon,GLASS CANNON,1.25,0,0,0,1.2,0
early,0,risky_bullet_storm,BULLET STORM,1,0,0,0,0.9,20
early,0,risky_reinforcement,REINFORCEMENT,1,0,0,0,1.15,25
early,0,risky_bounty,BOUNTY 30S,1.5,30,1.15,30,0,0
early,0,major_projectile,PROJECTILE +1,1,0,0,0,0,0
early,0,major_recruit,RECRUIT +1,1,0,0,0,0,0
early,0,major_overclock,OVERCLOCK,1.15,0,1.08,0,0,0
growth,90,stable_damage,DAMAGE +12%,1.12,0,0,0,0,0
growth,90,stable_fire_rate,FIRE RATE +0.3,0.3,0,0,0,0,0
growth,90,stable_vitality,MAX HP +10%,1.1,0,0,0,0,0
growth,90,utility_repair,REPAIR 25%,0.25,0,0,0,0,0
growth,90,utility_barrier,BARRIER 1 HIT,1,18,0,0,0,0
growth,90,utility_freeze,FREEZE 22S,0.72,22,0,0,0,0
growth,90,risky_glass_cannon,GLASS CANNON,1.3,0,0,0,1.18,0
growth,90,risky_bullet_storm,BULLET STORM,1,0,0,0,0.92,20
growth,90,risky_reinforcement,REINFORCEMENT,1,0,0,0,1.12,25
growth,90,risky_bounty,BOUNTY 30S,1.5,30,1.15,30,0,0
growth,90,major_projectile,PROJECTILE +1,1,0,0,0,0,0
growth,90,major_recruit,RECRUIT +1,1,0,0,0,0,0
growth,90,major_overclock,OVERCLOCK,1.2,0,1.1,0,0,0
pressure,180,stable_damage,DAMAGE +15%,1.15,0,0,0,0,0
pressure,180,stable_fire_rate,FIRE RATE +0.4,0.4,0,0,0,0,0
pressure,180,stable_vitality,MAX HP +12%,1.12,0,0,0,0,0
pressure,180,utility_repair,REPAIR 30%,0.3,0,0,0,0,0
pressure,180,utility_barrier,BARRIER 2 HIT,2,18,0,0,0,0
pressure,180,utility_freeze,FREEZE 25S,0.68,25,0,0,0,0
pressure,180,risky_glass_cannon,GLASS CANNON,1.35,0,0,0,1.16,0
pressure,180,risky_bullet_storm,BULLET STORM,1,0,0,0,0.94,20
pressure,180,risky_reinforcement,REINFORCEMENT,1,0,0,0,1.1,20
pressure,180,risky_bounty,BOUNTY 30S,1.5,30,1.15,30,0,0
pressure,180,major_projectile,PROJECTILE +1,1,0,0,0,0,0
pressure,180,major_recruit,RECRUIT +1,1,0,0,0,0,0
pressure,180,major_overclock,OVERCLOCK,1.25,0,1.12,0,0,0
late,300,stable_damage,DAMAGE +18%,1.18,0,0,0,0,0
late,300,stable_fire_rate,FIRE RATE +0.5,0.5,0,0,0,0,0
late,300,stable_vitality,MAX HP +15%,1.15,0,0,0,0,0
late,300,utility_repair,REPAIR 40%,0.4,0,0,0,0,0
late,300,utility_barrier,BARRIER 2 HIT,2,22,0,0,0,0
late,300,utility_freeze,FREEZE 28S,0.64,28,0,0,0,0
late,300,risky_glass_cannon,GLASS CANNON,1.4,0,0,0,1.14,0
late,300,risky_bullet_storm,BULLET STORM,1,0,0,0,0.96,15
late,300,risky_reinforcement,REINFORCEMENT,1,0,0,0,1.08,20
late,300,risky_bounty,BOUNTY 30S,1.5,30,1.15,30,0,0
late,300,major_projectile,PROJECTILE +1,1,0,0,0,0,0
late,300,major_recruit,RECRUIT +1,1,0,0,0,0,0
late,300,major_overclock,OVERCLOCK,1.3,0,1.15,0,0,0
endgame,420,stable_damage,DAMAGE +20%,1.2,0,0,0,0,0
endgame,420,stable_fire_rate,FIRE RATE +0.6,0.6,0,0,0,0,0
endgame,420,stable_vitality,MAX HP +18%,1.18,0,0,0,0,0
endgame,420,utility_repair,REPAIR 50%,0.5,0,0,0,0,0
endgame,420,utility_barrier,BARRIER 3 HIT,3,25,0,0,0,0
endgame,420,utility_freeze,FREEZE 30S,0.6,30,0,0,0,0
endgame,420,risky_glass_cannon,GLASS CANNON,1.45,0,0,0,1.12,0
endgame,420,risky_bullet_storm,BULLET STORM,1,0,0,0,0.98,15
endgame,420,risky_reinforcement,REINFORCEMENT,1,0,0,0,1.05,15
endgame,420,risky_bounty,BOUNTY 30S,1.5,30,1.15,30,0,0
endgame,420,major_projectile,PROJECTILE +1,1,0,0,0,0,0
endgame,420,major_recruit,RECRUIT +1,1,0,0,0,0,0
endgame,420,major_overclock,OVERCLOCK,1.35,0,1.18,0,0,0
